"Total_Orders","Total_Quantity","Total_Revenue","Avg_Discount","Avg_Profit","Avg_Shipping","Recency"
1,5,1140,0.1,136.6,13.7,58
1,1,228,0.1,138.9,13.9,314
1,1,196,0.5,92.5,9.2,124
1,5,425,0.5,17,1.7,20
2,5,571,0.25,55.2,5.5,13
1,1,118,0.1,36.8,3.7,64
1,4,472,0.1,23.8,2.4,83
1,1,109,0.4,26.8,2.7,163
2,7,1698,0.4,136,13.65,69
1,1,140,0.3,48.8,4.9,61
1,5,1240,0.5,106,10.6,322
1,5,980,0.5,67,6.7,240
1,4,340,0.4,21.3,2.1,16
1,1,140,0.3,54.4,5.4,302
2,3,544,0.3,83.8,8.4,146
1,4,560,0.1,54.4,5.4,272
1,4,472,0.2,28.6,2.9,51
1,1,228,0.4,138.9,13.9,137
1,5,1140,0.5,136.6,13.7,318
1,3,744,0.4,153.1,15.3,32
1,3,351,0.1,33.5,3.3,124
1,1,62,0.4,15.5,1.6,204
1,4,288,0.3,18,1.8,165
3,6,1184,0.333333333333333,92.9333333333333,9.3,8
4,10,2349,0.3,136.725,13.675,47
1,3,660,0.2,107,10.7,318
1,1,218,0.5,135.8,13.6,106
2,9,2027,0.3,124.25,12.45,126
1,1,196,0.5,106.2,10.6,52
1,1,85,0.4,28.3,2.8,113
1,3,576,0.2,89,8.9,36
2,7,1383,0.5,92.75,9.25,117
2,6,1120,0.4,79.6,7.95,28
2,3,603,0.35,111.45,11.15,0
1,5,1065,0.5,79.8,8,2
1,2,124,0.5,31,3.1,90
1,2,448,0.5,139.5,14,187
1,4,924,0.1,141.8,14.2,43
1,1,33,0.2,6.6,0.7,131
1,1,85,0.4,1.6,0.2,237
1,1,72,0.3,72,7.2,96
3,7,1264,0.266666666666667,54.1333333333333,5.4,42
1,5,1240,0.5,130.8,13.1,322
1,1,109,0.5,25.7,2.6,127
1,2,436,0.2,129.3,12.9,96
2,4,802,0.3,78.25,7.8,54
1,5,310,0.5,12.4,1.2,36
1,1,228,0.4,111.5,11.2,360
1,1,122,0.5,38.3,3.8,85
1,1,231,0.2,141.8,14.2,231
1,4,416,0.1,19.8,2,44
1,2,426,0.5,111.7,11.2,21
1,3,312,0.1,20.9,2.1,4
1,1,140,0.1,55.8,5.6,303
1,1,211,0.2,118.3,11.8,120
1,1,65,0.2,65,6.5,251
1,4,468,0.1,23,2.3,321
2,9,1306,0.3,48.5,4.9,192
1,4,924,0.3,114,11.4,54
1,2,392,0.5,96.4,9.6,54
1,1,213,0.4,124.5,12.4,28
1,1,250,0.3,145,14.5,107
1,1,104,0.2,13.6,1.4,51
2,5,1155,0.2,110.6,11.05,30
2,7,1473,0.25,98.7,9.85,1
1,1,85,0.1,1.6,0.2,117
1,1,118,0.3,28.6,2.9,147
1,2,456,0.4,138.9,13.9,246
1,1,196,0.1,108.2,10.8,82
2,3,272,0.3,18.05,1.8,17
2,4,373,0.3,31.95,3.2,116
1,1,109,0.3,19.2,1.9,236
2,9,1683,0.3,72.4,7.25,130
1,5,1240,0.5,155.6,15.6,74
2,3,429,0.35,74.65,7.5,64
1,2,496,0.5,143.2,14.3,354
1,4,472,0.3,19.1,1.9,220
1,1,62,0.4,20.7,2.1,112
1,4,456,0.2,11.2,1.1,206
2,3,667,0.3,131.3,13.1,157
1,1,196,0.4,112.1,11.2,349
1,2,436,0.4,120.6,12.1,78
1,1,117,0.2,34.7,3.5,231
1,4,436,0.5,7.2,0.7,233
1,5,980,0.3,86.6,8.7,82
2,6,793,0.5,65.55,6.55,334
1,5,1065,0.2,111.7,11.2,58
1,5,1120,0.4,99.2,9.9,163
2,3,394,0.2,88,8.8,129
1,5,1065,0.5,122.4,12.2,59
1,1,211,0.1,126.8,12.7,47
1,1,218,0.4,103.1,10.3,260
2,2,275,0.35,52.95,5.3,252
2,6,913,0.3,41.4,4.15,138
1,3,312,0.2,8.4,0.8,83
2,2,349,0.2,82.35,8.2,11
1,1,65,0.2,13,1.3,334
1,5,610,0.4,17.6,1.8,209
1,1,213,0.4,128.7,12.9,358
1,1,218,0.5,127.1,12.7,188
1,2,244,0.3,34.7,3.5,81
1,3,447,0.2,51.1,5.1,92
1,2,218,0.5,22.5,2.2,23
1,4,332,0.2,20.8,2.1,188
2,5,473,0.45,24.3,2.4,250
2,7,1642,0.2,130.85,13.1,216
1,1,228,0.4,138.9,13.9,237
1,1,250,0.3,150,15,99
2,6,1045,0.3,114.3,11.45,21
1,3,420,0.2,43.2,4.3,159
1,1,114,0.2,29.4,2.9,67
1,1,196,0.4,100.3,10,41
1,5,1250,0.3,107.5,10.8,307
1,1,224,0.1,137.3,13.7,89
3,3,383,0.233333333333333,60.5666666666667,6.06666666666667,15
1,5,1065,0.4,90.4,9,330
1,5,310,0.1,12.4,1.2,198
1,4,472,0.3,14.4,1.4,131
1,1,218,0.5,94.4,9.4,140
3,8,1040,0.3,64.6,6.5,17
1,5,795,0.4,63.1,6.3,170
2,6,1488,0.45,129.55,12.95,250
1,3,195,0.2,21.7,2.2,283
1,1,122,0.3,38.3,3.8,236
1,4,924,0.2,114,11.4,142
1,3,366,0.4,27.4,2.7,37
1,4,260,0.2,16.3,1.6,174
1,3,654,0.5,131.5,13.1,45
2,6,741,0.45,56.7,5.65,147
1,1,85,0.5,28.3,2.8,317
2,2,274,0.25,75,7.5,66
1,4,924,0.2,114,11.4,250
1,1,159,0.5,55.2,5.5,26
1,5,310,0.4,12.4,1.2,291
1,1,159,0.1,72.6,7.3,45
2,3,440,0.3,71.9,7.2,118
2,3,248,0.2,42.1,4.2,156
1,4,888,0.2,106.5,10.6,182
1,1,228,0.5,138.9,13.9,11
1,1,65,0.1,13,1.3,194
2,9,1170,0.25,36.25,3.65,9
1,1,114,0.1,30.6,3.1,117
1,5,1140,0.5,113.8,11.4,182
1,3,312,0.1,20.9,2.1,63
1,1,250,0.2,160,16,187
2,2,342,0.35,86.45,8.65,150
1,1,54,0.1,10.8,1.1,168
1,4,468,0.2,27.6,2.8,290
1,1,248,0.1,165.5,16.6,203
1,1,140,0.2,57.2,5.7,216
2,2,463,0.25,146,14.6,238
1,1,218,0.3,131.5,13.1,260
1,1,228,0.4,120.6,12.1,187
1,1,250,0.2,157.5,15.8,91
1,1,159,0.5,74.2,7.4,330
1,1,248,0.5,130.8,13.1,118
1,2,244,0.5,39.6,4,235
1,4,468,0.3,23,2.3,249
1,1,211,0.3,99.4,9.9,38
1,1,62,0.5,62,6.2,223
1,1,104,0.1,18.8,1.9,158
1,1,218,0.5,105.3,10.5,293
1,2,436,0.4,129.3,12.9,69
1,1,213,0.5,126.6,12.7,24
2,2,268,0.35,49.4,4.95,53
1,1,85,0.5,4.2,0.4,300
2,2,268,0.3,61.3,6.1,151
1,1,248,0.4,158.1,15.8,53
1,1,117,0.3,30,3,351
1,4,288,0.3,18,1.8,63
1,1,196,0.3,98.4,9.8,124
3,8,1438,0.266666666666667,61.6666666666667,6.16666666666667,225
1,1,211,0.2,118.3,11.8,11
1,1,33,0.2,33,3.3,64
1,4,132,0.2,8.3,0.8,215
3,9,1623,0.3,85.8,8.6,112
1,3,660,0.2,113.6,11.4,2
1,4,924,0.2,114,11.4,93
2,5,711,0.45,83.6,8.35,45
1,1,218,0.3,118.4,11.8,10
1,2,124,0.3,31,3.1,232
1,2,392,0.3,104.2,10.4,236
1,2,456,0.5,125.2,12.5,158
1,4,1000,0.1,140,14,0
1,1,118,0.3,23.8,2.4,101
1,1,211,0.3,120.5,12,229
2,2,442,0.4,126.55,12.65,2
1,1,222,0.2,86.5,8.7,228
1,5,610,0.3,23.7,2.4,247
2,2,459,0.1,143,14.3,138
2,7,1742,0.35,129.2,12.9,106
2,2,239,0.3,32.45,3.25,105
2,3,196,0.3,33.5,3.35,51
2,2,330,0.35,75.5,7.5,11
1,2,170,0.5,42.5,4.3,339
2,3,562,0.3,106,10.6,34
1,1,211,0.3,118.3,11.8,172
1,4,636,0.3,59.9,6,154
1,4,468,0.3,18.3,1.8,3
2,5,521,0.45,22.95,2.3,175
1,1,62,0.4,62,6.2,249
1,1,109,0.5,24.6,2.5,153
1,1,109,0.3,25.7,2.6,187
1,1,54,0.3,27,2.7,78
1,1,104,0.2,18.8,1.9,90
2,6,364,0.25,33.2,3.3,298
1,5,570,0.2,22.6,2.3,116
1,2,318,0.4,66.3,6.6,295
1,3,588,0.4,104.2,10.4,53
1,1,196,0.3,98.4,9.8,197
1,2,496,0.5,153.1,15.3,233
1,1,220,0.2,135.6,13.6,160
1,1,109,0.4,22.5,2.2,303
1,1,218,0.5,131.5,13.1,92
1,1,62,0.1,62,6.2,28
2,6,547,0.4,27.65,2.75,30
1,1,118,0.3,33.3,3.3,53
1,1,218,0.5,127.1,12.7,324
1,5,980,0.3,86.6,8.7,315
2,2,364,0.2,87.8,8.8,8
2,6,1045,0.35,98.6,9.85,220
1,5,310,0.1,12.4,1.2,219
1,5,1140,0.5,136.6,13.7,87
1,4,852,0.3,107.4,10.7,8
1,5,1240,0.2,143.2,14.3,103
1,1,224,0.4,108.2,10.8,58
1,5,980,0.5,67,6.7,139
1,2,448,0.3,130.6,13.1,14
2,5,838,0.35,77.15,7.7,75
1,1,118,0.1,35.6,3.6,28
1,5,1055,0.3,78.3,7.8,359
1,2,392,0.5,96.4,9.6,138
1,2,384,0.1,100.5,10,214
1,1,199,0.2,111,11.1,188
1,1,231,0.3,144.1,14.4,327
1,1,218,0.2,120.6,12.1,230
1,1,62,0.4,62,6.2,242
2,3,384,0.3,43.15,4.35,165
1,1,228,0.1,138.9,13.9,67
2,2,194,0.2,24.6,2.45,225
1,1,117,0.3,25.3,2.5,103
1,2,318,0.5,63.1,6.3,241
1,1,85,0.4,21.3,2.1,127
1,5,610,0.2,29.8,3,197
1,5,310,0.4,12.4,1.2,332
1,1,54,0.3,54,5.4,140
3,8,1610,0.3,81.0333333333333,8.1,24
2,10,1430,0.45,55.8,5.55,229
1,2,422,0.2,114.1,11.4,126
1,4,852,0.4,98.9,9.9,72
1,5,545,0.4,18.1,1.8,295
1,1,250,0.1,167.5,16.8,161
1,3,750,0.1,147.5,14.8,18
1,5,1240,0.5,155.6,15.6,227
1,1,159,0.4,72.6,7.3,34
2,2,444,0.3,122.8,12.25,3
2,4,859,0.15,101.4,10.15,30
1,1,140,0.3,55.8,5.6,85
1,1,72,0.3,24,2.4,284
4,9,1982,0.3,130.275,13.025,239
1,1,104,0.2,3.2,0.3,137
2,2,380,0.1,89.3,8.95,6
2,2,435,0.35,93.8,9.4,229
2,2,176,0.35,27.55,2.75,194
1,2,426,0.4,124.5,12.4,321
1,1,85,0.3,21.3,2.1,178
2,6,767,0.3,69.05,6.9,40
2,3,652,0.4,120.25,12,151
1,1,85,0.3,2.5,0.2,59
1,1,140,0.3,48.8,4.9,250
1,1,228,0.4,120.6,12.1,150
1,3,366,0.4,27.4,2.7,79
1,4,216,0.2,13.5,1.4,40
1,1,250,0.2,120,12,179
1,1,159,0.4,72.6,7.3,160
1,3,99,0.1,11,1.1,339
1,5,1090,0.1,127.1,12.7,51
1,1,114,0.2,27.2,2.7,162
1,1,54,0.1,27,2.7,97
1,5,270,0.3,10.8,1.1,49
1,4,472,0.2,28.6,2.9,185
1,1,122,0.5,35.9,3.6,34
1,1,85,0.5,1.6,0.2,79
1,1,250,0.1,162.5,16.3,9
1,5,310,0.4,12.4,1.2,217
1,2,462,0.2,127.9,12.8,158
1,1,248,0.5,138.2,13.8,243
1,1,114,0.3,30.6,3.1,265
2,2,337,0.4,68.25,6.85,15
2,3,454,0.45,81.15,8.1,140
1,2,124,0.2,31,3.1,13
1,3,342,0.2,20.3,2,116
2,5,1002,0.45,106.9,10.7,246
1,1,213,0.4,124.5,12.4,45
1,4,888,0.2,97.6,9.8,243
1,2,392,0.2,108.2,10.8,354
1,1,72,0.3,36,3.6,139
1,1,218,0.4,103.1,10.3,153
2,2,450,0.2,133.65,13.35,268
1,3,195,0.2,21.7,2.2,202
1,1,228,0.4,138.9,13.9,13
1,2,496,0.1,163,16.3,87
2,6,1281,0.35,111.85,11.2,211
3,5,826,0.366666666666667,100.966666666667,10.1,36
1,1,224,0.3,137.3,13.7,209
2,8,808,0.25,28.8,2.9,43
2,6,528,0.45,74.1,7.4,153
1,1,54,0.3,18,1.8,46
1,1,111,0.1,25.5,2.5,278
1,2,448,0.4,126.1,12.6,247
1,1,159,0.4,75.8,7.6,237
1,3,672,0.5,110.4,11,167
2,6,1478,0.2,142.5,14.25,282
1,1,62,0.3,20.7,2.1,265
1,2,144,0.2,36,3.6,249
1,5,980,0.3,86.6,8.7,132
2,4,921,0.3,131.1,13.1,103
2,2,239,0.35,28,2.8,105
1,4,216,0.3,13.5,1.4,263
2,5,278,0.2,17.1,1.75,64
1,4,992,0.3,138.2,13.8,125
2,4,449,0.45,24.9,2.5,80
1,5,570,0.2,22.6,2.3,178
2,5,1180,0.45,144.95,14.5,137
1,1,65,0.2,65,6.5,293
1,1,211,0.1,124.7,12.5,155
1,5,1250,0.3,132.5,13.3,142
1,4,248,0.3,15.5,1.6,90
1,1,211,0.1,124.7,12.5,59
1,1,248,0.3,145.7,14.6,172
1,2,500,0.2,145,14.5,10
1,2,496,0.4,148.2,14.8,226
1,1,159,0.3,74.2,7.4,160
1,2,426,0.5,111.7,11.2,290
1,1,224,0.4,135,13.5,41
1,1,72,0.3,24,2.4,37
1,5,1240,0.5,106,10.6,253
2,6,1034,0.2,62.1,6.2,52
1,1,62,0.3,20.7,2.1,153
1,1,117,0.1,33.5,3.3,158
1,2,170,0.5,3.3,0.3,75
1,5,1155,0.3,93.3,9.3,207
1,2,244,0.5,29.8,3,76
1,4,1000,0.1,160,16,55
1,1,62,0.2,20.7,2.1,172
1,1,114,0.3,23.7,2.4,230
1,2,496,0.5,143.2,14.3,271
1,1,159,0.5,71.1,7.1,350
1,1,196,0.3,98.4,9.8,120
1,1,224,0.5,132.8,13.3,217
2,2,353,0.4,78.1,7.8,12
1,5,585,0.2,25.3,2.5,242
1,1,62,0.4,62,6.2,258
1,5,425,0.5,17,1.7,179
1,1,213,0.5,107.4,10.7,160
1,1,218,0.4,129.3,12.9,35
2,2,456,0.25,138.9,13.9,51
2,2,339,0.2,82.55,8.25,177
1,3,693,0.2,137.1,13.7,53
1,4,340,0.3,21.3,2.1,138
1,2,448,0.4,126.1,12.6,169
1,1,228,0.4,111.5,11.2,64
1,1,83,0.2,1.3,0.1,170
1,1,62,0.4,62,6.2,314
1,1,248,0.4,158.1,15.8,165
1,2,124,0.4,31,3.1,118
1,5,545,0.4,7.2,0.7,127
1,1,85,0.5,2.5,0.2,316
1,1,224,0.5,132.8,13.3,180
2,2,229,0.2,58.35,5.85,103
2,6,1461,0.25,126.5,12.65,74
1,1,218,0.5,127.1,12.7,271
1,1,213,0.5,101.1,10.1,144
1,2,318,0.4,66.3,6.6,159
1,1,62,0.4,62,6.2,36
2,5,540,0.2,49.8,5,225
1,3,588,0.4,104.2,10.4,54
1,1,117,0.2,30,3,268
1,2,436,0.2,129.3,12.9,224
1,1,224,0.5,141.8,14.2,193
2,3,264,0.35,41.3,4.15,47
1,5,1065,0.4,111.7,11.2,119
1,1,104,0.2,19.8,2,242
1,2,456,0.3,134.3,13.4,198
1,2,244,0.4,37.1,3.7,165
1,2,236,0.1,35.6,3.6,52
1,2,318,0.5,63.1,6.3,114
1,1,62,0.4,62,6.2,125
1,3,660,0.2,107,10.7,234
1,1,114,0.3,28.3,2.8,273
1,1,114,0.2,29.4,2.9,117
1,1,196,0.5,106.2,10.6,318
1,1,250,0.2,165,16.5,298
1,2,426,0.5,111.7,11.2,363
1,1,54,0.1,10.8,1.1,272
1,3,342,0.1,30.6,3.1,107
1,2,124,0.4,31,3.1,227
1,2,422,0.2,109.9,11,231
3,9,1706,0.266666666666667,94.5666666666667,9.46666666666667,139
1,2,66,0.2,16.5,1.7,107
1,5,360,0.3,14.4,1.4,209
2,5,345,0.35,8.95,0.9,173
1,1,222,0.1,135.3,13.5,50
1,5,700,0.2,46,4.6,309
1,4,488,0.5,17.6,1.8,180
1,1,122,0.5,40.8,4.1,251
1,5,310,0.4,12.4,1.2,201
1,2,496,0.5,143.2,14.3,125
1,1,117,0.3,23,2.3,155
1,4,436,0.4,20.3,2,83
1,1,140,0.2,51.6,5.2,102
3,7,1341,0.366666666666667,86.8,8.7,48
1,5,980,0.5,67,6.7,79
1,1,196,0.4,92.5,9.2,154
2,5,640,0.15,63.6,6.35,226
2,3,329,0.45,59.95,6,165
1,5,980,0.4,96.4,9.6,129
1,2,500,0.1,165,16.5,290
1,2,244,0.4,37.1,3.7,242
1,1,159,0.4,72.6,7.3,54
2,2,329,0.2,72.95,7.25,102
1,1,224,0.5,99.2,9.9,116
2,8,980,0.25,22.45,2.25,91
1,1,159,0.5,59.9,6,190
1,5,795,0.3,55.2,5.5,116
1,4,488,0.5,17.6,1.8,205
1,2,222,0.1,24.3,2.4,194
1,4,288,0.3,18,1.8,361
1,1,231,0.3,144.1,14.4,140
1,1,224,0.4,135,13.5,7
1,5,590,0.2,26.2,2.6,166
1,1,159,0.5,71.1,7.1,80
1,1,122,0.5,35.9,3.6,53
1,1,85,0.5,2.5,0.2,142
1,1,196,0.1,114,11.4,69
1,1,111,0.1,14.4,1.4,308
1,1,122,0.1,37.1,3.7,215
1,1,159,0.5,77.4,7.7,15
1,3,597,0.2,107.1,10.7,228
1,3,327,0.4,22.5,2.2,361
2,8,1804,0.15,123.05,12.35,250
2,9,1832,0.4,87.85,8.8,85
1,2,222,0.1,28.8,2.9,136
2,2,410,0.2,118.9,11.9,98
1,1,213,0.4,124.5,12.4,24
1,1,62,0.5,62,6.2,257
3,5,950,0.5,96.8666666666667,9.7,83
1,5,425,0.2,17,1.7,181
2,9,2174,0.15,135.75,13.6,112
1,3,597,0.2,89.2,8.9,359
1,1,248,0.3,160.6,16.1,18
2,4,592,0.3,78.75,7.9,39
1,1,231,0.1,148.7,14.9,165
1,1,62,0.5,20.7,2.1,53
2,3,709,0.35,135.95,13.6,101
1,4,468,0.1,32.3,3.2,138
1,1,140,0.2,57.2,5.7,104
2,9,1469,0.35,68.8,6.9,144
1,5,545,0.5,23.6,2.4,22
1,1,140,0.2,25,2.5,175
1,1,218,0.1,135.8,13.6,42
1,1,122,0.5,17.6,1.8,96
1,3,351,0.2,19.5,1.9,129
2,2,277,0.2,50.8,5.05,160
1,3,477,0.5,55.2,5.5,6
1,4,912,0.5,138.9,13.9,102
1,1,122,0.1,37.1,3.7,185
3,5,1106,0.366666666666667,95.4333333333333,9.53333333333333,14
1,5,1240,0.5,106,10.6,70
1,1,228,0.5,145.7,14.6,207
1,4,472,0.3,23.8,2.4,249
3,12,1423,0.466666666666667,38.2666666666667,3.8,1
1,1,140,0.2,54.4,5.4,191
1,1,250,0.2,155,15.5,39
1,1,199,0.2,69.3,6.9,13
1,1,218,0.5,127.1,12.7,134
1,2,496,0.5,143.2,14.3,116
1,1,72,0.2,24,2.4,239
2,5,585,0.25,28.8,2.9,18
1,4,520,0.2,39.6,4,191
1,1,213,0.1,124.5,12.4,217
1,5,545,0.5,1.8,0.2,235
1,3,744,0.5,130.8,13.1,102
1,2,124,0.5,31,3.1,303
2,5,690,0.4,75.45,7.55,45
1,1,114,0.3,27.2,2.7,286
2,6,1194,0.3,65.9,6.6,48
2,6,1331,0.2,126.65,12.65,147
2,7,750,0.35,67.4,6.7,295
1,3,477,0.4,59.9,6,111
2,2,364,0.25,96.8,9.7,229
1,1,248,0.5,158.1,15.8,150
2,6,539,0.35,23.8,2.4,118
1,1,109,0.5,23.6,2.4,125
1,1,224,0.4,135,13.5,237
1,1,122,0.5,17.6,1.8,200
1,4,132,0.1,8.3,0.8,188
1,1,250,0.3,140,14,57
2,2,276,0.35,39.7,3.95,97
3,3,583,0.333333333333333,90.7,9.06666666666667,67
1,1,213,0.5,90.4,9,78
2,3,672,0.4,126.05,12.6,73
1,2,318,0.5,69.5,6.9,143
1,1,211,0.2,109.9,11,351
1,2,456,0.5,125.2,12.5,194
1,2,124,0.4,31,3.1,169
1,5,425,0.5,17,1.7,200
1,1,224,0.1,141.8,14.2,233
1,2,392,0.1,112.1,11.2,84
1,1,114,0.1,30.6,3.1,102
1,1,196,0.5,76.8,7.7,112
1,1,228,0.2,134.3,13.4,332
1,1,228,0.3,120.6,12.1,354
1,2,448,0.5,121.6,12.2,131
2,3,440,0.3,74.6,7.45,110
1,1,118,0.2,35.6,3.6,103
1,2,384,0.2,96.6,9.7,207
1,1,130,0.2,37,3.7,3
2,6,759,0.15,37.55,3.75,155
1,1,211,0.1,99.4,9.9,30
1,2,130,0.2,32.5,3.3,227
2,2,225,0.25,43.45,4.35,130
1,1,250,0.2,165,16.5,219
2,2,472,0.3,139.4,13.95,19
1,1,248,0.4,148.2,14.8,117
1,1,122,0.5,17.6,1.8,132
1,2,218,0.4,20.3,2,52
1,1,114,0.3,24.9,2.5,58
1,1,118,0.3,27.4,2.7,179
2,7,881,0.4,80.2,8,42
2,8,496,0.4,15.5,1.6,56
1,1,159,0.5,71.1,7.1,266
1,1,250,0.2,145,14.5,80
1,5,1090,0.3,105.3,10.5,98
1,5,570,0.3,5.5,0.6,187
1,1,114,0.1,30.6,3.1,12
2,2,202,0.35,30.75,3.1,51
1,5,610,0.4,17.6,1.8,225
2,4,816,0.45,109.5,10.95,151
1,1,248,0.2,148.2,14.8,183
1,1,250,0.2,157.5,15.8,162
1,1,213,0.5,122.4,12.2,325
1,1,72,0.3,36,3.6,54
1,3,639,0.4,107.4,10.7,43
1,1,211,0.3,114.1,11.4,319
2,4,738,0.25,76.35,7.65,117
1,4,1000,0.3,130,13,192
2,2,286,0.35,99.65,9.95,54
2,5,957,0.35,52.8,5.25,144
